Tabla,Columna,Tipo dato,Nombre variable,Descripción (ES),Nombre (EN),Descripción (EN)
DatosAmbientales,N1,float,NAS,Natural Amenity Scale,NAS,Superficie del condado (National Atlas)
DatosAmbientales,N2,float,pDens,Population Density (total),Densidad poblacional,Densidad de población
DatosAmbientales,N3,float,pDensP,Population Density (private),Superficie terrestre,Superficie terrestre
DatosAmbientales,N4,float,%PLand,public land; percent of total county area,Área urbana del condado,Área urbana del condado
DatosAmbientales,N5,int(11),good,Number of days in the year having an AQI value 0 through 50 (average 2006-2015),Días con AQI > 50,Número de días por año con un AQI superior a 50 (promedio 2006–2015)
DatosAmbientales,N6,int(11),nonHealthy,Aggregated number of days in the year having an AQI value 101 or higher (average 2006-2015),Días con AQI > 101,Número total de días del año con un valor del ICA de 101 o superior (promedio 2006-2015)
DatosAmbientales,N7,int(11),CO,number of days CO was the main pollutant (average 2006-2015),Días con CO principal,Número de días en que el CO fue el principal contaminante (promedio 2006-2015)
DatosAmbientales,N8,int(11),NO2,number of days NO2 was the main pollutant (average 2006-2015),NO2,Número de días con NO2 como contaminante principal (promedio 2006–2015)
DatosAmbientales,N9,int(11),Oz,number of days Ozone was the main pollutant (average 2006-2015),Ozono,Número de días con ozono como contaminante principal (promedio 2006–2015)
DatosAmbientales,N10,int(11),SO2,number of days SO2 was the main pollutant (average 2006-2015),SO2,Número de días con SO2 como contaminante principal (promedio 2006–2015)
DatosAmbientales,N11,int(11),pm2.5,number of days PM2.5 was the main pollutant (average 2006-2015),PM10,Número de días con PM10 como contaminante principal (promedio 2006–2015)
DatosAmbientales,N12,int(11),pm10,number of days PM10 was the main pollutant (average 2006-2015),PM2.5,Número de días con PM2.5 como contaminante principal (promedio 2006–2015)
DatosAmbientales,N13,float,%PSGWpop,Public Supply: percent of total population served by groundwater [2010],% acceso a agua subterránea,Abastecimiento Público: porcentaje de la población total abastecida con agua subterránea [2010]
DatosAmbientales,N14,float,%PSSWpop,Public Supply: percent of total population served by surface water[2010],% acceso a agua superficial,Abastecimiento Público: porcentaje de la población total abastecida con agua superficial [2010]
DatosAmbientales,N15,float,%psWGW,Public Supply: percent of water from groundwater withdrawals [2010],% uso agrícola agua superficial,Abastecimiento Público: porcentaje de agua procedente de extracciones de agua subterránea [2010]
DatosAmbientales,N16,float,%psWSW,Public Supply: percent of water from surface-water withdrawals; total [2010],% uso agrícola agua subterránea,Abastecimiento Público: porcentaje de agua procedente de extracciones de agua superficial; total [2010]
DatosAmbientales,N17,float,domesticWtr,Domestic: total use (withdrawals + deliveries) [2010],Uso total electricidad,Uso doméstico: uso total (extracciones + entregas) [2010]
DatosAmbientales,N18,float,cropsWtr,"Irrigation-Crop: total withdrawals fresh, per total acres irrigated [2010]",Uso electricidad per cápita,Riego-Cultivo: extracción total de agua dulce por hectárea total irrigada [2010]
DatosAmbientales,N19,float,Power/Wtr,power generated by thermoelectric: total withdrawals; total (fresh+saline) [2010],Extracción total de agua,Energía termoeléctrica: extracción total; total (agua dulce + salina) [2010]
DatosAmbientales,N20,float,ThElectricPow,Thermoelectric: power generated by person [2010],Extracción agua dulce,Termoeléctrica: energía generada por persona [2010]
DatosEconomicos,E1,float,unemployment,percent; employment status - civilian labor force - unemployment rate [HC03_VC12],Desempleo,Porcentaje; situación laboral - fuerza laboral civil - tasa de desempleo [HC03_VC12]
DatosEconomicos,E2,float,1jobs,primary sector: percent employed in agriculture forestry fishing hunting mining,1 empleo,"Sector primario: porcentaje de empleados en agricultura, silvicultura, pesca, caza y minería"
DatosEconomicos,E3,float,2jobs,secondary sector: percent employed in construction manufacturing,2 empleos,Sector secundario: porcentaje de empleados en construcción y manufactura
DatosEconomicos,E4,float,3jobs[a+b],tertiary sector: percent employed in all service related activities included in 3jobs[a] and 3jobs[b],3 empleos [a+b],Sector terciario: porcentaje de empleados en todas las actividades relacionadas con los servicios incluidas en 3jobs[a] y 3jobs[b]
DatosEconomicos,E5,float,income ineq.,Income inequality (ratio of household income at the 80th percentile to income at the 20th percentile),Desigualdad de ingresos.,Desigualdad de ingresos (ratio entre los ingresos de los hogares en el percentil 80 y los ingresos en el percentil 20)
DatosEconomicos,E6,float,medHHi,estimate; income and benefits (in 2015 inflation-adjusted dollars) - total households - median household income (dollars) [HC01_VC85],Medios de comunicación,Estimación; ingresos y prestaciones (en dólares ajustados a la inflación de 2015) - total de hogares - ingresos medianos de los hogares (dólares) [HC01_VC85]
DatosEconomicos,E7,float,Income,estimate; income and benefits (in 2015 inflation-adjusted dollars) - per capita income (dollars) [HC01_VC118],Ingresos,Estimación; ingresos y prestaciones (en dólares ajustados a la inflación de 2015) - ingresos per cápita (dólares) [HC01_VC118]
DatosEconomicos,E8,float,incomeGap,men's factor of women's income; income and benefits (in 2015 inflation-adjusted dollars) - median earnings for male/female  full-time year-round workers (dollars) [HC01_VC125/],Brecha de ingresos,"Factor de los hombres en los ingresos de las mujeres; Ingresos y beneficios (en dólares ajustados a la inflación de 2015) - Ingresos medios de trabajadores a tiempo completo, hombres y mujeres, todo el año (dólares) [HC01_VC125/]"
DatosEconomicos,E9,float,%popUnins,"estimate; health insurance coverage - civilian noninstitutionalized population - no health insurance coverage [HC01_VC134], percent of total population",% popPins,"Estimación; Cobertura de seguro médico - Población civil no institucionalizada - Sin cobertura de seguro médico [HC01_VC134], porcentaje de la población total"
DatosEconomicos,E10,float,DepR,percent dependents per percent employed population,DepR,Porcentaje de dependientes por porcentaje de la población empleada
DatosEconomicos,E11,float,%work home,percent; commuting to work - workers 16 years and over - worked at home [HC03_VC33],% trabajo casa,Porcentaje; Desplazamiento al trabajo - Trabajadores de 16 años o más - Trabajo en casa [HC03_VC33]
DatosEconomicos,E12,float,%povP,percent; percentage of families and people whose income in the past 12 months is below the poverty level - all people [HC03_VC171],% povP,Porcentaje; Porcentaje de familias y personas cuyos ingresos en los últimos 12 meses están por debajo del umbral de pobreza - Total [HC03_VC171]
DatosEconomicos,E13,float,% commute,percent; commuting to work - workers 16 years and over - car truck or van -- drove alone [HC03_VC28],% desplazamientos,"Porcentaje; Desplazamiento al trabajo - Trabajadores de 16 años o más - Auto, camión o furgoneta - Condujo solo [HC03_VC28]"
DatosEconomicos,E14,float,% carpooled,percent; commuting to work - workers 16 years and over - car truck or van -- carpooled [HC03_VC29],% coche compartido,"Porcentaje; Desplazamiento al trabajo - Trabajadores de 16 años o más - Auto, camión o furgoneta - Uso compartido del vehículo [HC03_VC29]"
DatosEconomicos,E15,float,% comm transit,percent; commuting to work - workers 16 years and over - public transportation (excluding taxicab) [HC03_VC30],% transporte público,Porcentaje; Desplazamiento al trabajo - trabajadores de 16 años o más - transporte público (excluidos los taxis) [HC03_VC30]
DatosEconomicos,E16,float,comm time,estimate; commuting to work - mean travel time to work (minutes) [HC01_VC36],tiempo de transporte público,Estimación; desplazamiento al trabajo - tiempo medio de viaje al trabajo (minutos) [HC01_VC36]
